Paginas,Marcos,Fallos
128,1,495
128,10,459
128,100,183
128,101,173
128,102,170
128,103,163
128,104,162
128,105,160
128,106,156
128,107,155
128,108,151
128,109,151
128,11,452
128,110,149
128,111,146
128,112,143
128,113,139
128,114,139
128,115,136
128,116,135
128,117,133
128,118,129
128,119,127
128,12,456
128,120,128
128,121,125
128,122,125
128,123,124
128,124,124
128,125,124
128,126,124
128,127,124
128,128,124
128,13,449
128,14,441
128,15,435
128,16,442
128,17,428
128,18,423
128,19,416
128,2,493
128,20,420
128,21,421
128,22,414
128,23,415
128,24,406
128,25,411
128,26,406
128,27,406
128,28,394
128,29,391
128,3,483
128,30,382
128,31,387
128,32,394
128,33,375
128,34,381
128,35,380
128,36,371
128,37,374
128,38,365
128,39,364
128,4,486
128,40,371
128,41,347
128,42,334
128,43,339
128,44,347
128,45,335
128,46,338
128,47,329
128,48,321
128,49,336
128,5,475
128,50,325
128,51,315
128,52,313
128,53,307
128,54,313
128,55,310
128,56,299
128,57,295
128,58,297
128,59,298
128,6,478
128,60,273
128,61,279
128,62,280
128,63,284
128,64,276
128,65,277
128,66,262
128,67,266
128,68,270
128,69,265
128,7,466
128,70,256
128,71,261
128,72,239
128,73,260
128,74,255
128,75,248
128,76,229
128,77,227
128,78,226
128,79,232
128,8,464
128,80,234
128,81,231
128,82,227
128,83,225
128,84,222
128,85,213
128,86,223
128,87,212
128,88,215
128,89,204
128,9,465
128,90,199
128,91,200
128,92,197
128,93,198
128,94,184
128,95,188
128,96,183
128,97,183
128,98,182
128,99,174
16,1,472
16,10,187
16,11,157
16,12,135
16,13,110
16,14,75
16,15,49
16,16,16
16,2,434
16,3,416
16,4,381
16,5,354
16,6,313
16,7,293
16,8,252
16,9,233
32,1,482
32,10,345
32,11,335
32,12,301
32,13,304
32,14,283
32,15,264
32,16,241
32,17,237
32,18,224
32,19,202
32,2,471
32,20,201
32,21,167
32,22,177
32,23,139
32,24,135
32,25,124
32,26,107
32,27,95
32,28,77
32,29,68
32,3,451
32,30,49
32,31,45
32,32,32
32,4,437
32,5,429
32,6,404
32,7,386
32,8,379
32,9,350
64,1,495
64,10,425
64,11,402
64,12,399
64,13,393
64,14,396
64,15,379
64,16,374
64,17,374
64,18,361
64,19,356
64,2,486
64,20,349
64,21,343
64,22,334
64,23,323
64,24,332
64,25,299
64,26,295
64,27,288
64,28,299
64,29,277
64,3,483
64,30,282
64,31,271
64,32,263
64,33,255
64,34,234
64,35,239
64,36,240
64,37,220
64,38,216
64,39,214
64,4,474
64,40,210
64,41,211
64,42,204
64,43,191
64,44,175
64,45,172
64,46,171
64,47,177
64,48,157
64,49,149
64,5,459
64,50,153
64,51,145
64,52,125
64,53,122
64,54,121
64,55,109
64,56,109
64,57,94
64,58,91
64,59,87
64,6,454
64,60,79
64,61,74
64,62,73
64,63,64
64,64,64
64,7,450
64,8,443
64,9,425
